ObjectID,GlobalID,Species,How Many,ParentGlobalID,CreationDate,Creator,EditDate,Editor,obstime,x,y
11,74e686f0-2864-4f5b-913c-9a9371b9ece7,Mallard,2,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:24:57 PM,-116.296923796354,43.6488284758049
12,1339dbc1-1dc1-4d4a-9302-878dd5e4f0d1,Mallard,7,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:26:48 PM,-116.296359467185,43.6487675967881
13,21b7a4e7-12e7-426e-b964-4865ae6bf612,Mallard,11,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:27:17 PM,-116.295278747202,43.6487136661682
14,c9d573a8-6382-4eef-a7fe-e7dc1bd51605,Mallard,11,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:27:40 PM,-116.298180461508,43.6488643006276
15,f0fc852a-375b-410c-8b0e-094ed2c46fa1,Mallard,8,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:30:10 PM,-116.295867807123,43.6496311800328
16,75bc8f98-1ef3-47e3-bfd8-56e3ab965060,Mallard,10,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:30:30 PM,-116.296075477418,43.649887506949
17,133078a2-00c3-4dc2-abd5-d12e44f6ac8a,Common_Goldeneye,3,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:32:40 PM,-116.295954029585,43.649703118513
18,0096f2a7-fbd4-47d6-ab9c-d2095f413638,Common_Goldeneye,4,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:34:25 PM,-116.29698608379,43.649955608609
19,10218db9-32e3-47c0-939a-ce7b8a494c80,Common_Goldeneye,3,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:42:09 PM,-116.296598946332,43.6502281581597
20,f2f97a8b-5c1d-4c27-81cd-f200133b6f82,Common_Goldeneye,1,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:44:20 PM,-116.298379982746,43.6522519331779
21,960d015c-d872-4b05-9617-05855071038a,Common_Goldeneye,5,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:50:49 PM,-116.296716942603,43.6506731025457
22,5636a573-573e-4400-81e4-75c357198dfd,Mallard,8,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:52:24 PM,-116.296721848175,43.6511276837397
23,ff8c41c2-989e-4b4c-be96-25b703383aff,Common_Goldeneye,6,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:52:40 PM,-116.296454627749,43.6509237346236
24,674474ff-f1ab-4437-96ab-6566221ee78e,Common_Goldeneye,1,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:53:24 PM,-116.296484990861,43.651580360454
25,f5d70b18-c9aa-40af-813c-a3d912adb9c7,Mallard,2,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:54:38 PM,-116.296228736295,43.6515638938796
26,b9c8ab6b-11bb-4c5c-b69c-9f15c4be7796,Common_Goldeneye,1,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:55:01 PM,-116.295684939948,43.6520745259478
27,6331a194-91b6-4fb9-9892-b25ec4de5063,Gadwall,1,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:55:49 PM,-116.295994177952,43.6517812509837
28,6c7973ae-415d-492a-a895-3abc31fd50bf,Common_Goldeneye,5,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/12/2025 11:56:54 PM,-116.297299020714,43.6524078118789
29,6e837995-1ede-42e2-99a4-ff8f96320b1e,Gadwall,1,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:01:00 AM,-116.297288250272,43.6525078336773
30,61dc5d34-934d-4fed-9812-50102c3a790c,Canada_Goose,10,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:01:31 AM,-116.296239086032,43.6519081623583
31,67796597-67ce-48a8-b657-ffcceb44de74,Common_Goldeneye,3,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:01:52 AM,-116.298346948207,43.6523840970177
32,4a29826c-a8bd-4fac-87d1-8485d73db7dd,Mallard,2,4dfd792a-5e8b-413b-b31b-b0aca6554d19,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:28:32 AM,CoreyDondero_CWI,10/13/2025 12:17:44 AM,-116.298663974851,43.6521098356776
